Country Name,European Union,Latin America & Caribbean,Middle East & North Africa,North America,South Asia,Sub-Saharan Africa
2001,510997,2119251,5288955,407334,34800000,41700000
2002,542389,2065779,4484858,683071,33800000,40600000
2003,568656,2103773,4120842,594378,27000000,38600000
2004,612353,2329227,3776989,520806,22600000,37400000
2005,460465,1649030,3833408,210807,19500000,35600000
2006,458430,2252541,3830816,202624,18100000,34100000
2007,419381,2097063,3367529,86819,14900000,31800000
2008,340815,1399159,2889719,142640,15200000,31300000
2009,372451,1442720,2617359,427244,16700000,31400000
2010,354724,1653693,2133339,609421,15900000,33300000
2011,334269,1697598,2142279,930206,17100000,32000000
2012,308774,1690129,1766456,684758,15800000,31900000
2013,304271,1876923,2229566,624323,13900000,31900000
2014,406409,2008058,2314449,512450,13100000,32100000
2015,373876,1956240,2463266,455639,13800000,33000000
2016,419923,1942208,2376817,90005,13000000,33600000
2017,481150,1839718,2323361,99012,13300000,34200000
2018,677962,2266933,2285405,101223,12500000,34700000