Country Name,European Union,Country Name,European Union,Country Name,European Union,Country Name
2001,510997,2002 [YR2001],510998,2003 [YR2001],510999,2004 [YR2001]
2002,542389,2003 [YR2002],542390,2004 [YR2002],542391,2005 [YR2002]
2003,568656,2004 [YR2003],568657,2005 [YR2003],568658,2006 [YR2003]
2004,612353,2005 [YR2004],612354,2006 [YR2004],612355,2007 [YR2004]
2005,460465,2006 [YR2005],460466,2007 [YR2005],460467,2008 [YR2005]
2006,458430,2007 [YR2006],458431,2008 [YR2006],458432,2009 [YR2006]
2007,419381,2008 [YR2007],419382,2009 [YR2007],419383,2010 [YR2007]
2008,340815,2009 [YR2008],340816,2010 [YR2008],340817,2011 [YR2008]
2009,372451,2010 [YR2009],372452,2011 [YR2009],372453,2012 [YR2009]
2010,354724,2011 [YR2010],354725,2012 [YR2010],354726,2013 [YR2010]
2011,334269,2012 [YR2011],334270,2013 [YR2011],334271,2014 [YR2011]
2012,308774,2013 [YR2012],308775,2014 [YR2012],308776,2015 [YR2012]
2013,304271,2014 [YR2013],304272,2015 [YR2013],304273,2016 [YR2013]
2014,406409,2015 [YR2014],406410,2016 [YR2014],406411,2017 [YR2014]
2015,373876,2016 [YR2015],373877,2017 [YR2015],373878,2018 [YR2015]
2016,419923,2017 [YR2016],419924,2018 [YR2016],419925,2019 [YR2016]
2017,481150,2018 [YR2017],481151,2019 [YR2017],481152,2020 [YR2017]
2018,677962,2019 [YR2018],677963,2020 [YR2018],677964,2021 [YR2018]